RIAD_CODE	LEI	COUNTRY_OF_REGISTRATION	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	HEAD_COUNTRY_OF_REGISTRATION	HEAD_NAME	HEAD_RIAD_CODE	HEAD_LEI	REPORT
PL09226	259400GSCBBL0HVG1M06	PL	Bank Spółdzielczy w Mińsku Mazowieckim		ul. Piłsudskiego 6	05-300	Mińsk Mazowiecki	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09233	259400Q23ORCDYTSW256	PL	Bank Spółdzielczy w Łochowie		al. Pokoju 54	07-130	Łochów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09236	259400HTCXVPJ88Y5928	PL	Powiatowy Bank Spółdzielczy w Węgrowie		ul. Gdańska 10	07-100	Węgrów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09244	259400TXNW1R6XIG0P35	PL	Bank Spółdzielczy Ziemi Wieluńskiej		ul. Rządowa 2	98-350	Biała	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09245	259400VHDVHLVRYQ5265	PL	Bank Spółdzielczy w Błaszkach		pl. Niepodległości 33	98-235	Błaszki	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09251	259400WXYM4M5P1E1C81	PL	Nadwarciański Bank Spółdzielczy w Działoszynie		ul. Piłsudskiego 21A	98-355	Działoszyn	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09256	259400S0OL9VIWU19X27	PL	Rejonowy Bank Spółdzielczy w Lututowie		ul. Klonowska 2	98-360	Lututów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09263	25940044HLBDDAXS0F37	PL	Bank Spółdzielczy w Poddębicach		ul. Łódzka 33	99-200	Poddębice	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09264	259400944RWY15KYYT23	PL	Bank Spółdzielczy w Ruścu		ul. Wieluńska 42	97-438	Rusiec	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09267	259400YP5P14O7ZV2S78	PL	Bank Spółdzielczy w Sieradzu		ul. Zamkowa 2	98-200	Sieradz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09269	259400ZD29K886HVMR39	PL	Bank Spółdzielczy w Szadku		ul. Sieradzka 14	98-240	Szadek	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
